species;audio_name;spectrogram_name;sec_i;sec_f
Acrocephalus arundinaceus;XC476146.mp3;XC476146_73.npy;119.637;120.637
Acrocephalus arundinaceus;XC476146.mp3;XC476146_74.npy;120.437;121.437
Acrocephalus arundinaceus;XC476146.mp3;XC476146_75.npy;121.237;122.237
Acrocephalus arundinaceus;XC476146.mp3;XC476146_76.npy;122.037;123.037
Acrocephalus arundinaceus;XC476146.mp3;XC476146_77.npy;122.837;123.837
Acrocephalus arundinaceus;XC476146.mp3;XC476146_78.npy;123.637;124.637
Acrocephalus arundinaceus;XC476146.mp3;XC476146_79.npy;124.437;124.879
Acrocephalus arundinaceus;XC477688.mp3;XC477688_0.npy;25.194;26.194
Acrocephalus arundinaceus;XC477688.mp3;XC477688_1.npy;25.994;26.994
Acrocephalus arundinaceus;XC477688.mp3;XC477688_2.npy;26.794;27.794
Acrocephalus arundinaceus;XC477688.mp3;XC477688_3.npy;27.594;28.594
Acrocephalus arundinaceus;XC477688.mp3;XC477688_4.npy;28.394;29.394
Acrocephalus arundinaceus;XC477688.mp3;XC477688_5.npy;29.194;30.194
Acrocephalus arundinaceus;XC477688.mp3;XC477688_6.npy;29.994;30.994
Acrocephalus arundinaceus;XC477688.mp3;XC477688_7.npy;30.794;31.794
Acrocephalus arundinaceus;XC477688.mp3;XC477688_8.npy;31.594;31.874
Acrocephalus arundinaceus;XC477688.mp3;XC477688_9.npy;37.913;38.913
Acrocephalus arundinaceus;XC477688.mp3;XC477688_10.npy;38.713;39.713
Acrocephalus arundinaceus;XC477688.mp3;XC477688_11.npy;39.513;39.989
Acrocephalus arundinaceus;XC477688.mp3;XC477688_12.npy;45.122;46.122
Acrocephalus arundinaceus;XC477688.mp3;XC477688_13.npy;45.922;46.922
Acrocephalus arundinaceus;XC477688.mp3;XC477688_14.npy;46.722;47.722
Acrocephalus arundinaceus;XC477688.mp3;XC477688_15.npy;47.522;48.522
Acrocephalus arundinaceus;XC477688.mp3;XC477688_16.npy;48.322;48.689
Acrocephalus arundinaceus;XC477688.mp3;XC477688_17.npy;53.331;54.331
Acrocephalus arundinaceus;XC477688.mp3;XC477688_18.npy;54.131;55.131
Acrocephalus arundinaceus;XC477688.mp3;XC477688_19.npy;54.931;55.931
Acrocephalus arundinaceus;XC477688.mp3;XC477688_20.npy;55.731;56.731
Acrocephalus arundinaceus;XC477688.mp3;XC477688_21.npy;56.531;57.143
Acrocephalus arundinaceus;XC477688.mp3;XC477688_22.npy;62.616;63.616
Acrocephalus arundinaceus;XC477688.mp3;XC477688_23.npy;63.416;64.416
Acrocephalus arundinaceus;XC477688.mp3;XC477688_24.npy;64.216;65.216
Acrocephalus arundinaceus;XC477688.mp3;XC477688_25.npy;65.016;66.016
Acrocephalus arundinaceus;XC477688.mp3;XC477688_26.npy;65.816;66.390
Acrocephalus arundinaceus;XC477688.mp3;XC477688_27.npy;125.515;126.515
Acrocephalus arundinaceus;XC477688.mp3;XC477688_28.npy;126.315;127.315
Acrocephalus arundinaceus;XC477688.mp3;XC477688_29.npy;127.115;128.115
Acrocephalus arundinaceus;XC477688.mp3;XC477688_30.npy;127.915;128.915
Acrocephalus arundinaceus;XC477688.mp3;XC477688_31.npy;128.715;129.252
Acrocephalus arundinaceus;XC477945.mp3;XC477945_0.npy;3.182;4.182
Acrocephalus arundinaceus;XC477945.mp3;XC477945_1.npy;3.982;4.982
Acrocephalus arundinaceus;XC477945.mp3;XC477945_2.npy;4.782;5.782
Acrocephalus arundinaceus;XC477945.mp3;XC477945_3.npy;5.582;6.582
Acrocephalus arundinaceus;XC477945.mp3;XC477945_4.npy;6.382;7.382
Acrocephalus arundinaceus;XC477945.mp3;XC477945_5.npy;7.182;8.182
Acrocephalus arundinaceus;XC477945.mp3;XC477945_6.npy;7.982;8.982
Acrocephalus arundinaceus;XC477945.mp3;XC477945_7.npy;16.072;17.072
Acrocephalus arundinaceus;XC477945.mp3;XC477945_8.npy;16.872;17.872
Acrocephalus arundinaceus;XC477945.mp3;XC477945_9.npy;17.672;18.672
Acrocephalus arundinaceus;XC477945.mp3;XC477945_10.npy;18.472;19.472
Acrocephalus arundinaceus;XC477945.mp3;XC477945_11.npy;19.272;19.617
Acrocephalus arundinaceus;XC477945.mp3;XC477945_12.npy;24.168;25.168
Acrocephalus arundinaceus;XC477945.mp3;XC477945_13.npy;24.968;25.968
Acrocephalus arundinaceus;XC477945.mp3;XC477945_14.npy;25.768;26.768
Acrocephalus arundinaceus;XC477945.mp3;XC477945_15.npy;26.568;27.568
Acrocephalus arundinaceus;XC477945.mp3;XC477945_16.npy;27.368;28.368
Acrocephalus arundinaceus;XC477945.mp3;XC477945_17.npy;28.168;29.168
Acrocephalus arundinaceus;XC477945.mp3;XC477945_18.npy;28.968;29.968
Acrocephalus arundinaceus;XC477945.mp3;XC477945_19.npy;37.421;38.421
Acrocephalus arundinaceus;XC477945.mp3;XC477945_20.npy;38.221;39.221
Acrocephalus arundinaceus;XC477945.mp3;XC477945_21.npy;39.021;40.021
Acrocephalus arundinaceus;XC477945.mp3;XC477945_22.npy;39.821;40.821
Acrocephalus arundinaceus;XC477945.mp3;XC477945_23.npy;40.621;41.227
Acrocephalus arundinaceus;XC477945.mp3;XC477945_24.npy;47.129;48.129
Acrocephalus arundinaceus;XC477945.mp3;XC477945_25.npy;47.929;48.929
Acrocephalus arundinaceus;XC477945.mp3;XC477945_26.npy;48.729;49.729
Acrocephalus arundinaceus;XC477945.mp3;XC477945_27.npy;49.529;50.240
Acrocephalus arundinaceus;XC477945.mp3;XC477945_28.npy;58.931;59.931
Acrocephalus arundinaceus;XC477945.mp3;XC477945_29.npy;59.731;60.731
Acrocephalus arundinaceus;XC477945.mp3;XC477945_30.npy;60.531;61.531
Acrocephalus arundinaceus;XC477945.mp3;XC477945_31.npy;61.331;62.331
Acrocephalus arundinaceus;XC477945.mp3;XC477945_32.npy;62.131;63.131
Acrocephalus arundinaceus;XC477945.mp3;XC477945_33.npy;62.931;63.704
Acrocephalus arundinaceus;XC477945.mp3;XC477945_34.npy;70.592;71.592
Acrocephalus arundinaceus;XC477945.mp3;XC477945_35.npy;71.392;72.392
Acrocephalus arundinaceus;XC477945.mp3;XC477945_36.npy;72.192;73.192
Acrocephalus arundinaceus;XC477945.mp3;XC477945_37.npy;72.992;73.992
Acrocephalus arundinaceus;XC477945.mp3;XC477945_38.npy;73.792;74.792
Acrocephalus arundinaceus;XC477945.mp3;XC477945_39.npy;74.592;75.265
Acrocephalus arundinaceus;XC477945.mp3;XC477945_40.npy;77.379;78.379
Acrocephalus arundinaceus;XC477945.mp3;XC477945_41.npy;78.179;79.179
Acrocephalus arundinaceus;XC477945.mp3;XC477945_42.npy;78.979;79.979
Acrocephalus arundinaceus;XC477945.mp3;XC477945_43.npy;79.779;80.779
Acrocephalus arundinaceus;XC477945.mp3;XC477945_44.npy;80.579;81.246
Acrocephalus arundinaceus;XC477945.mp3;XC477945_45.npy;85.536;86.536
Acrocephalus arundinaceus;XC477945.mp3;XC477945_46.npy;86.336;87.336
Acrocephalus arundinaceus;XC477945.mp3;XC477945_47.npy;87.136;88.136
Acrocephalus arundinaceus;XC477945.mp3;XC477945_48.npy;87.936;88.936
Acrocephalus arundinaceus;XC477945.mp3;XC477945_49.npy;88.736;89.504
Acrocephalus arundinaceus;XC477945.mp3;XC477945_50.npy;94.378;95.378
Acrocephalus arundinaceus;XC477945.mp3;XC477945_51.npy;95.178;96.178
Acrocephalus arundinaceus;XC477945.mp3;XC477945_52.npy;95.978;96.978
Acrocephalus arundinaceus;XC477945.mp3;XC477945_53.npy;96.778;97.778
Acrocephalus arundinaceus;XC477945.mp3;XC477945_54.npy;97.578;98.578
Acrocephalus arundinaceus;XC477945.mp3;XC477945_55.npy;98.378;99.378
Acrocephalus arundinaceus;XC477945.mp3;XC477945_56.npy;99.178;100.178
Acrocephalus arundinaceus;XC477945.mp3;XC477945_57.npy;99.978;100.978
Acrocephalus arundinaceus;XC477945.mp3;XC477945_58.npy;100.778;101.347
Acrocephalus arundinaceus;XC477945.mp3;XC477945_59.npy;106.583;107.583
Acrocephalus arundinaceus;XC477945.mp3;XC477945_60.npy;107.383;108.383
Acrocephalus arundinaceus;XC477945.mp3;XC477945_61.npy;108.183;109.183
Acrocephalus arundinaceus;XC477945.mp3;XC477945_62.npy;108.983;109.983
Acrocephalus arundinaceus;XC477945.mp3;XC477945_63.npy;109.783;110.783
Acrocephalus arundinaceus;XC477945.mp3;XC477945_64.npy;110.583;111.583
Acrocephalus arundinaceus;XC477945.mp3;XC477945_65.npy;111.383;111.739
Acrocephalus arundinaceus;XC477945.mp3;XC477945_66.npy;114.176;115.176
Acrocephalus arundinaceus;XC477945.mp3;XC477945_67.npy;114.976;115.976
Acrocephalus arundinaceus;XC477945.mp3;XC477945_68.npy;115.776;116.776
Acrocephalus arundinaceus;XC477945.mp3;XC477945_69.npy;116.576;117.576
Acrocephalus arundinaceus;XC477945.mp3;XC477945_70.npy;117.376;118.376
Acrocephalus arundinaceus;XC477945.mp3;XC477945_71.npy;120.863;121.863
Acrocephalus arundinaceus;XC477945.mp3;XC477945_72.npy;121.663;122.663
Acrocephalus arundinaceus;XC477945.mp3;XC477945_73.npy;122.463;123.463
Acrocephalus arundinaceus;XC477945.mp3;XC477945_74.npy;123.263;124.263
Acrocephalus arundinaceus;XC477945.mp3;XC477945_75.npy;124.063;125.063
Acrocephalus arundinaceus;XC477945.mp3;XC477945_76.npy;124.863;125.233
Acrocephalus arundinaceus;XC477945.mp3;XC477945_77.npy;126.945;127.945
Acrocephalus arundinaceus;XC477945.mp3;XC477945_78.npy;127.745;128.745
Acrocephalus arundinaceus;XC477945.mp3;XC477945_79.npy;128.545;129.545
Acrocephalus arundinaceus;XC477945.mp3;XC477945_80.npy;129.345;130.345
Acrocephalus arundinaceus;XC477945.mp3;XC477945_81.npy;130.145;131.145
Acrocephalus arundinaceus;XC477945.mp3;XC477945_82.npy;130.945;131.945
Acrocephalus arundinaceus;XC477945.mp3;XC477945_83.npy;135.968;136.968
Acrocephalus arundinaceus;XC477945.mp3;XC477945_84.npy;136.768;137.768
Acrocephalus arundinaceus;XC477945.mp3;XC477945_85.npy;137.568;138.568
Acrocephalus arundinaceus;XC477945.mp3;XC477945_86.npy;138.368;139.368
Acrocephalus arundinaceus;XC477945.mp3;XC477945_87.npy;139.168;140.168
Acrocephalus arundinaceus;XC477945.mp3;XC477945_88.npy;139.968;140.968
Acrocephalus arundinaceus;XC477945.mp3;XC477945_89.npy;140.768;141.507
Acrocephalus arundinaceus;XC477945.mp3;XC477945_90.npy;149.845;150.845
Acrocephalus arundinaceus;XC477945.mp3;XC477945_91.npy;150.645;151.645
Acrocephalus arundinaceus;XC477945.mp3;XC477945_92.npy;151.445;152.445
Acrocephalus arundinaceus;XC477945.mp3;XC477945_93.npy;152.245;153.245
Acrocephalus arundinaceus;XC477945.mp3;XC477945_94.npy;153.045;154.045
Acrocephalus arundinaceus;XC477945.mp3;XC477945_95.npy;153.845;154.845
Acrocephalus arundinaceus;XC477945.mp3;XC477945_96.npy;154.645;155.645
Acrocephalus arundinaceus;XC477945.mp3;XC477945_97.npy;155.445;156.149
Acrocephalus arundinaceus;XC477945.mp3;XC477945_98.npy;161.023;162.023
Acrocephalus arundinaceus;XC477945.mp3;XC477945_99.npy;161.823;162.823
Acrocephalus arundinaceus;XC477945.mp3;XC477945_100.npy;162.623;163.057
Acrocephalus arundinaceus;XC477945.mp3;XC477945_101.npy;166.319;167.319
Acrocephalus arundinaceus;XC477945.mp3;XC477945_102.npy;167.119;168.119
Acrocephalus arundinaceus;XC477945.mp3;XC477945_103.npy;167.919;168.919
Acrocephalus arundinaceus;XC477945.mp3;XC477945_104.npy;168.719;169.719
Acrocephalus arundinaceus;XC477945.mp3;XC477945_105.npy;169.519;170.519
Acrocephalus arundinaceus;XC477945.mp3;XC477945_106.npy;170.319;170.932
Acrocephalus arundinaceus;XC477945.mp3;XC477945_107.npy;176.752;177.752
Acrocephalus arundinaceus;XC477945.mp3;XC477945_108.npy;177.552;178.552
Acrocephalus arundinaceus;XC477945.mp3;XC477945_109.npy;178.352;179.352
Acrocephalus arundinaceus;XC477945.mp3;XC477945_110.npy;179.152;180.152
Acrocephalus arundinaceus;XC477945.mp3;XC477945_111.npy;179.952;180.952
Acrocephalus arundinaceus;XC477945.mp3;XC477945_112.npy;180.752;181.163
Acrocephalus arundinaceus;XC477945.mp3;XC477945_113.npy;184.889;185.889
Acrocephalus arundinaceus;XC477945.mp3;XC477945_114.npy;185.689;186.689
Acrocephalus arundinaceus;XC477945.mp3;XC477945_115.npy;186.489;187.489
Acrocephalus arundinaceus;XC477945.mp3;XC477945_116.npy;187.289;188.289
Acrocephalus arundinaceus;XC477945.mp3;XC477945_117.npy;188.089;189.089
Acrocephalus arundinaceus;XC477945.mp3;XC477945_118.npy;188.889;189.889
Acrocephalus arundinaceus;XC477945.mp3;XC477945_119.npy;189.689;190.367
Acrocephalus arundinaceus;XC477945.mp3;XC477945_120.npy;195.684;196.684
Acrocephalus arundinaceus;XC477945.mp3;XC477945_121.npy;196.484;197.484
Acrocephalus arundinaceus;XC477945.mp3;XC477945_122.npy;197.284;198.284
Acrocephalus arundinaceus;XC477945.mp3;XC477945_123.npy;198.084;199.084
Acrocephalus arundinaceus;XC477945.mp3;XC477945_124.npy;198.884;199.571
Acrocephalus arundinaceus;XC477945.mp3;XC477945_125.npy;202.472;203.472
Acrocephalus arundinaceus;XC477945.mp3;XC477945_126.npy;203.272;204.272
Acrocephalus arundinaceus;XC477945.mp3;XC477945_127.npy;204.072;205.072
Acrocephalus arundinaceus;XC477945.mp3;XC477945_128.npy;204.872;205.872
Acrocephalus arundinaceus;XC477945.mp3;XC477945_129.npy;205.672;206.672
Acrocephalus arundinaceus;XC477945.mp3;XC477945_130.npy;206.472;207.472
Acrocephalus arundinaceus;XC477945.mp3;XC477945_131.npy;207.272;208.272
Acrocephalus arundinaceus;XC477945.mp3;XC477945_132.npy;208.072;209.072
Acrocephalus arundinaceus;XC477945.mp3;XC477945_133.npy;208.872;209.872
Acrocephalus arundinaceus;XC477945.mp3;XC477945_134.npy;209.672;210.672
Acrocephalus arundinaceus;XC477945.mp3;XC477945_135.npy;210.472;211.071
Acrocephalus arundinaceus;XC477945.mp3;XC477945_136.npy;216.570;217.570
Acrocephalus arundinaceus;XC477945.mp3;XC477945_137.npy;217.370;218.370
Acrocephalus arundinaceus;XC477945.mp3;XC477945_138.npy;218.170;219.170
Acrocephalus arundinaceus;XC477945.mp3;XC477945_139.npy;218.970;219.970
Acrocephalus arundinaceus;XC477945.mp3;XC477945_140.npy;219.770;220.770
Acrocephalus arundinaceus;XC477945.mp3;XC477945_141.npy;220.570;221.570
Acrocephalus arundinaceus;XC477945.mp3;XC477945_142.npy;221.370;222.370
Acrocephalus arundinaceus;XC477945.mp3;XC477945_143.npy;222.170;223.170
Acrocephalus arundinaceus;XC477945.mp3;XC477945_144.npy;222.970;223.377
Acrocephalus arundinaceus;XC477945.mp3;XC477945_145.npy;227.848;228.848
Acrocephalus arundinaceus;XC477945.mp3;XC477945_146.npy;228.648;229.648
Acrocephalus arundinaceus;XC477945.mp3;XC477945_147.npy;229.448;230.448
Acrocephalus arundinaceus;XC477945.mp3;XC477945_148.npy;230.248;231.248
Acrocephalus arundinaceus;XC477945.mp3;XC477945_149.npy;231.048;232.048
Acrocephalus arundinaceus;XC477945.mp3;XC477945_150.npy;231.848;232.848
Acrocephalus arundinaceus;XC477945.mp3;XC477945_151.npy;232.648;233.648
Acrocephalus arundinaceus;XC477945.mp3;XC477945_152.npy;237.899;238.899
Acrocephalus arundinaceus;XC477945.mp3;XC477945_153.npy;238.699;239.699
Acrocephalus arundinaceus;XC477945.mp3;XC477945_154.npy;239.499;240.499
Acrocephalus arundinaceus;XC477945.mp3;XC477945_155.npy;240.299;241.299
Acrocephalus arundinaceus;XC477945.mp3;XC477945_156.npy;241.099;242.099
Acrocephalus arundinaceus;XC477945.mp3;XC477945_157.npy;241.899;242.899
Acrocephalus arundinaceus;XC477945.mp3;XC477945_158.npy;242.699;243.155
Acrocephalus arundinaceus;XC477945.mp3;XC477945_159.npy;248.935;249.935
Acrocephalus arundinaceus;XC477945.mp3;XC477945_160.npy;249.735;250.735
Acrocephalus arundinaceus;XC477945.mp3;XC477945_161.npy;250.535;251.535
Acrocephalus arundinaceus;XC477945.mp3;XC477945_162.npy;251.335;252.335
Acrocephalus arundinaceus;XC477945.mp3;XC477945_163.npy;252.135;253.135
Acrocephalus arundinaceus;XC477945.mp3;XC477945_164.npy;252.935;253.935
Acrocephalus arundinaceus;XC477945.mp3;XC477945_165.npy;253.735;254.735
Acrocephalus arundinaceus;XC477945.mp3;XC477945_166.npy;254.535;254.957
Acrocephalus arundinaceus;XC477945.mp3;XC477945_167.npy;262.007;263.007
Acrocephalus arundinaceus;XC477945.mp3;XC477945_168.npy;262.807;263.807
Acrocephalus arundinaceus;XC477945.mp3;XC477945_169.npy;263.607;264.607
Acrocephalus arundinaceus;XC477945.mp3;XC477945_170.npy;264.407;265.407
Acrocephalus arundinaceus;XC477945.mp3;XC477945_171.npy;275.420;276.420
Acrocephalus arundinaceus;XC477945.mp3;XC477945_172.npy;276.220;277.220
Acrocephalus arundinaceus;XC477945.mp3;XC477945_173.npy;277.020;278.020
Acrocephalus arundinaceus;XC477945.mp3;XC477945_174.npy;277.820;278.820
Acrocephalus arundinaceus;XC477945.mp3;XC477945_175.npy;278.620;279.620
Acrocephalus arundinaceus;XC477945.mp3;XC477945_176.npy;279.420;279.972
Acrocephalus arundinaceus;XC478415.mp3;XC478415_0.npy;1.566;2.566
Acrocephalus arundinaceus;XC478415.mp3;XC478415_1.npy;2.366;3.366
Acrocephalus arundinaceus;XC478415.mp3;XC478415_2.npy;3.166;4.166
Acrocephalus arundinaceus;XC478415.mp3;XC478415_3.npy;3.966;4.966
Acrocephalus arundinaceus;XC478415.mp3;XC478415_4.npy;4.766;5.046
Acrocephalus arundinaceus;XC478415.mp3;XC478415_5.npy;10.837;11.837
Acrocephalus arundinaceus;XC478415.mp3;XC478415_6.npy;11.637;12.637
Acrocephalus arundinaceus;XC478415.mp3;XC478415_7.npy;12.437;13.437
Acrocephalus arundinaceus;XC478415.mp3;XC478415_8.npy;18.752;19.752
Acrocephalus arundinaceus;XC478415.mp3;XC478415_9.npy;19.552;20.552
Acrocephalus arundinaceus;XC478415.mp3;XC478415_10.npy;20.352;21.352
Acrocephalus arundinaceus;XC478415.mp3;XC478415_11.npy;21.152;22.152
Acrocephalus arundinaceus;XC478415.mp3;XC478415_12.npy;21.952;22.952
Acrocephalus arundinaceus;XC478415.mp3;XC478415_13.npy;22.752;23.398
Acrocephalus arundinaceus;XC478415.mp3;XC478415_14.npy;50.472;51.472
Acrocephalus arundinaceus;XC478415.mp3;XC478415_15.npy;51.272;52.272
Acrocephalus arundinaceus;XC478415.mp3;XC478415_16.npy;52.072;53.072
Acrocephalus arundinaceus;XC478415.mp3;XC478415_17.npy;52.872;53.559
Acrocephalus arundinaceus;XC478415.mp3;XC478415_18.npy;61.715;62.715
Acrocephalus arundinaceus;XC478415.mp3;XC478415_19.npy;62.515;63.515
Acrocephalus arundinaceus;XC478415.mp3;XC478415_20.npy;63.315;64.315
Acrocephalus arundinaceus;XC478415.mp3;XC478415_21.npy;64.115;65.115
Acrocephalus arundinaceus;XC478415.mp3;XC478415_22.npy;64.915;65.915
Acrocephalus arundinaceus;XC478415.mp3;XC478415_23.npy;65.715;65.955
Acrocephalus arundinaceus;XC478415.mp3;XC478415_24.npy;71.257;72.257
Acrocephalus arundinaceus;XC478415.mp3;XC478415_25.npy;72.057;73.057
Acrocephalus arundinaceus;XC478415.mp3;XC478415_26.npy;72.857;73.857
Acrocephalus arundinaceus;XC478415.mp3;XC478415_27.npy;73.657;74.657
Acrocephalus arundinaceus;XC478415.mp3;XC478415_28.npy;74.457;75.457
Acrocephalus arundinaceus;XC478415.mp3;XC478415_29.npy;75.257;75.821
Acrocephalus arundinaceus;XC478415.mp3;XC478415_30.npy;81.778;82.778
Acrocephalus arundinaceus;XC478415.mp3;XC478415_31.npy;82.578;83.578
Acrocephalus arundinaceus;XC478415.mp3;XC478415_32.npy;83.378;84.378
Acrocephalus arundinaceus;XC478415.mp3;XC478415_33.npy;84.178;85.178
Acrocephalus arundinaceus;XC478415.mp3;XC478415_34.npy;92.351;93.351
Acrocephalus arundinaceus;XC478415.mp3;XC478415_35.npy;93.151;94.151
Acrocephalus arundinaceus;XC478415.mp3;XC478415_36.npy;93.951;94.951
Acrocephalus arundinaceus;XC478415.mp3;XC478415_37.npy;94.751;95.506
Acrocephalus arundinaceus;XC478415.mp3;XC478415_38.npy;100.303;101.303
Acrocephalus arundinaceus;XC478415.mp3;XC478415_39.npy;101.103;102.103
Acrocephalus arundinaceus;XC478415.mp3;XC478415_40.npy;101.903;102.903
Acrocephalus arundinaceus;XC478415.mp3;XC478415_41.npy;102.703;103.703
Acrocephalus arundinaceus;XC478415.mp3;XC478415_42.npy;103.503;104.016
Acrocephalus arundinaceus;XC478850.mp3;XC478850_0.npy;0.127;1.127
Acrocephalus arundinaceus;XC478850.mp3;XC478850_1.npy;0.927;1.927
Acrocephalus arundinaceus;XC478850.mp3;XC478850_2.npy;1.727;2.727
Acrocephalus arundinaceus;XC478850.mp3;XC478850_3.npy;2.527;3.527
Acrocephalus arundinaceus;XC478850.mp3;XC478850_4.npy;3.327;4.327
Acrocephalus arundinaceus;XC478850.mp3;XC478850_5.npy;4.127;5.127
Acrocephalus arundinaceus;XC478850.mp3;XC478850_6.npy;4.927;5.927
Acrocephalus arundinaceus;XC478850.mp3;XC478850_7.npy;5.727;6.727
Acrocephalus arundinaceus;XC478850.mp3;XC478850_8.npy;6.527;7.527
Acrocephalus arundinaceus;XC478850.mp3;XC478850_9.npy;7.327;8.327
Acrocephalus arundinaceus;XC478850.mp3;XC478850_10.npy;8.127;9.127
Acrocephalus arundinaceus;XC478850.mp3;XC478850_11.npy;8.927;9.927
Acrocephalus arundinaceus;XC478850.mp3;XC478850_12.npy;9.727;10.727
Acrocephalus arundinaceus;XC478850.mp3;XC478850_13.npy;10.527;11.527
Acrocephalus arundinaceus;XC478850.mp3;XC478850_14.npy;11.327;12.327
Acrocephalus arundinaceus;XC478850.mp3;XC478850_15.npy;12.127;13.127
Acrocephalus arundinaceus;XC478850.mp3;XC478850_16.npy;12.927;13.927
Acrocephalus arundinaceus;XC478850.mp3;XC478850_17.npy;13.727;14.111
Acrocephalus arundinaceus;XC478850.mp3;XC478850_18.npy;17.380;18.380
Acrocephalus arundinaceus;XC478850.mp3;XC478850_19.npy;18.180;19.180
Acrocephalus arundinaceus;XC478850.mp3;XC478850_20.npy;18.980;19.980
Acrocephalus arundinaceus;XC478850.mp3;XC478850_21.npy;19.780;20.780
Acrocephalus arundinaceus;XC478850.mp3;XC478850_22.npy;20.580;21.580
Acrocephalus arundinaceus;XC478850.mp3;XC478850_23.npy;21.380;22.380
Acrocephalus arundinaceus;XC478850.mp3;XC478850_24.npy;22.180;23.180
Acrocephalus arundinaceus;XC478850.mp3;XC478850_25.npy;22.980;23.980
Acrocephalus arundinaceus;XC478850.mp3;XC478850_26.npy;27.513;28.513
Acrocephalus arundinaceus;XC478850.mp3;XC478850_27.npy;28.313;29.313
Acrocephalus arundinaceus;XC478850.mp3;XC478850_28.npy;29.113;30.113
Acrocephalus arundinaceus;XC478850.mp3;XC478850_29.npy;29.913;30.300
Acrocephalus arundinaceus;XC478850.mp3;XC478850_30.npy;33.366;34.366
Acrocephalus arundinaceus;XC478850.mp3;XC478850_31.npy;34.166;35.166
Acrocephalus arundinaceus;XC478850.mp3;XC478850_32.npy;34.966;35.966
Acrocephalus arundinaceus;XC478850.mp3;XC478850_33.npy;35.766;36.766
Acrocephalus arundinaceus;XC478850.mp3;XC478850_34.npy;36.566;37.039
Acrocephalus arundinaceus;XC478850.mp3;XC478850_35.npy;39.801;40.801
Acrocephalus arundinaceus;XC478850.mp3;XC478850_36.npy;40.601;41.601
Acrocephalus arundinaceus;XC478850.mp3;XC478850_37.npy;41.401;42.401
Acrocephalus arundinaceus;XC478850.mp3;XC478850_38.npy;42.201;43.201
Acrocephalus arundinaceus;XC478850.mp3;XC478850_39.npy;43.001;44.001
Acrocephalus arundinaceus;XC478850.mp3;XC478850_40.npy;43.801;44.801
Acrocephalus arundinaceus;XC478850.mp3;XC478850_41.npy;47.274;48.274
Acrocephalus arundinaceus;XC478850.mp3;XC478850_42.npy;48.074;49.074
Acrocephalus arundinaceus;XC478850.mp3;XC478850_43.npy;48.874;49.874
Acrocephalus arundinaceus;XC478850.mp3;XC478850_44.npy;49.674;50.674
Acrocephalus arundinaceus;XC478850.mp3;XC478850_45.npy;50.474;51.474
Acrocephalus arundinaceus;XC478850.mp3;XC478850_46.npy;51.274;52.274
Acrocephalus arundinaceus;XC478850.mp3;XC478850_47.npy;52.074;52.772
Acrocephalus arundinaceus;XC478850.mp3;XC478850_48.npy;57.433;58.433
Acrocephalus arundinaceus;XC478850.mp3;XC478850_49.npy;58.233;59.233
Acrocephalus arundinaceus;XC478850.mp3;XC478850_50.npy;59.033;60.033
Acrocephalus arundinaceus;XC478850.mp3;XC478850_51.npy;59.833;60.833
Acrocephalus arundinaceus;XC478850.mp3;XC478850_52.npy;63.336;64.336
Acrocephalus arundinaceus;XC478850.mp3;XC478850_53.npy;64.136;65.136
Acrocephalus arundinaceus;XC478850.mp3;XC478850_54.npy;64.936;65.936
Acrocephalus arundinaceus;XC478850.mp3;XC478850_55.npy;65.736;66.736
Acrocephalus arundinaceus;XC478850.mp3;XC478850_56.npy;66.536;67.536
Acrocephalus arundinaceus;XC478850.mp3;XC478850_57.npy;67.336;68.336
Acrocephalus arundinaceus;XC478850.mp3;XC478850_58.npy;68.136;68.682
Acrocephalus arundinaceus;XC478850.mp3;XC478850_59.npy;71.874;72.874
Acrocephalus arundinaceus;XC478850.mp3;XC478850_60.npy;72.674;73.674
Acrocephalus arundinaceus;XC478850.mp3;XC478850_61.npy;73.474;74.474
Acrocephalus arundinaceus;XC478850.mp3;XC478850_62.npy;74.274;75.274
Acrocephalus arundinaceus;XC478850.mp3;XC478850_63.npy;75.074;76.074
Acrocephalus arundinaceus;XC478850.mp3;XC478850_64.npy;75.874;76.874
Acrocephalus arundinaceus;XC478850.mp3;XC478850_65.npy;76.674;77.674
Acrocephalus arundinaceus;XC478850.mp3;XC478850_66.npy;77.474;78.030
Acrocephalus arundinaceus;XC478850.mp3;XC478850_67.npy;83.047;84.047
Acrocephalus arundinaceus;XC478850.mp3;XC478850_68.npy;83.847;84.847
Acrocephalus arundinaceus;XC478850.mp3;XC478850_69.npy;84.647;85.647
Acrocephalus arundinaceus;XC478850.mp3;XC478850_70.npy;85.447;86.447
Acrocephalus arundinaceus;XC478850.mp3;XC478850_71.npy;86.247;87.247
Acrocephalus arundinaceus;XC478850.mp3;XC478850_72.npy;87.047;88.047
Acrocephalus arundinaceus;XC478850.mp3;XC478850_73.npy;87.847;88.847
Acrocephalus arundinaceus;XC478850.mp3;XC478850_74.npy;88.647;89.330
Acrocephalus arundinaceus;XC478850.mp3;XC478850_75.npy;93.409;94.409
Acrocephalus arundinaceus;XC478850.mp3;XC478850_76.npy;94.209;95.209
Acrocephalus arundinaceus;XC478850.mp3;XC478850_77.npy;95.009;96.009
Acrocephalus arundinaceus;XC478850.mp3;XC478850_78.npy;95.809;96.809
Acrocephalus arundinaceus;XC478850.mp3;XC478850_79.npy;96.609;97.609
Acrocephalus arundinaceus;XC478850.mp3;XC478850_80.npy;97.409;98.409
